Braess_1_4200_10_c1_k3_a0.8_d0.9;Braess_1_4200_10_c1_k3_a0.9_d0.9;Braess_1_4200_10_c1_k3_a0.8_d0.99;Braess_1_4200_10_c1_k3_a0.9_d0.99
15.5586722789;15.5563754535;15.5609745843;15.5590787604
15.5517471088;15.5603145124;15.5563088057;15.5615236206
15.5473460884;15.5604844293;15.5623133598;15.5576856198
15.7703962018;15.7654884921;15.5733542895;15.5680475057
16.050573904;16.1403751323;15.5894509259;15.599460771
15.826509127;16.5682724112;15.6257522298;15.6336298564
15.9318263227;16.0134437264;15.6357557445;15.6656954081
16.3244913832;16.816204743;15.6315941799;15.6897768141
16.9308317082;16.5620859788;15.6735550075;15.7183677626
17.3898541005;17.2729197468;15.6878620937;15.7527124527
16.1910772676;17.1570933862;15.7276496032;15.7721123961
17.3456371504;17.7732596372;15.7647686697;15.8107754157
17.2970402494;16.5153955215;15.7995164777;15.8402256992
17.0881432351;17.5414139645;15.8325995087;15.8554986583
16.0786436886;17.0800071428;15.8715710128;15.8828796485
16.1331182351;16.8220437075;15.9019856198;15.9075352608
16.5013966553;16.57490274;15.9193250189;15.9332790249
16.6873790627;16.1951143235;15.967459486;15.963890514
16.3221858465;16.0760334278;15.9842616024;15.9945420635
16.3149084656;16.1911767196;16.0138643235;16.0220396069
16.5435714097;16.1366426493;16.0338310469;16.0227230915
16.3210203326;16.2909235072;16.0543493008;16.0550043651
16.1898566704;16.2783005291;16.0918906274;16.0845096372
16.0414917611;16.3972581444;16.1142773809;16.1128033258
15.9446665911;16.4611574452;16.1319737528;16.1394899471
15.8552787793;16.1923115268;16.158210223;16.1576488284
15.8296867725;16.1084619803;16.1832786281;16.173484486
15.8828681595;16.3305462018;16.2002838435;16.2036856576
15.8861641345;16.06388887;16.23025548;16.2188904951
15.9735555744;15.7468161565;16.2625480159;16.2650186886
15.8012208428;15.8643516251;16.2939170257;16.2912098828
16.0459200113;16.0185201436;16.3128254724;16.3147777211
15.7653715986;15.7402996032;16.3357972411;16.3422665155
15.8356394558;15.808781935;16.3449531746;16.3535712207
