OW_k8_epochsize10_gamma0.2_1h18m19s.txt;OW_k8_epochsize10_gamma0.01_1h17m4s.txt;OW_k4_epochsize20_gamma0.3_1h19m7s.txt;OW_k4_epochsize10_gamma0.01_1h16m28s.txt;OW_k4_epochsize20_gamma0.2_1h17m52s.txt;OW_k8_epochsize50_gamma0.1_1h16m19s.txt;OW_k8_epochsize30_gamma0.3_1h19m56s.txt;OW_k4_epochsize10_gamma0.2_1h17m43s.txt;OW_k8_epochsize30_gamma0.2_1h18m38s.txt;OW_k8_epochsize20_gamma0.1_1h15m59s.txt;OW_k4_epochsize20_gamma0.1_1h15m23s.txt;OW_k8_epochsize50_gamma0.01_1h17m33s.txt;OW_k8_epochsize30_gamma0.1_1h16m9s.txt;OW_k4_epochsize10_gamma0.1_1h15m14s.txt;OW_k4_epochsize30_gamma0.01_1h16m46s.txt;OW_k8_epochsize10_gamma0.1_1h15m49s.txt;OW_k4_epochsize50_gamma0.2_1h18m10s.txt;OW_k8_epochsize50_gamma0.3_1h20m6s.txt;OW_k4_epochsize30_gamma0.1_1h15m32s.txt;OW_k8_epochsize20_gamma0.01_1h17m14s.txt;OW_k8_epochsize20_gamma0.2_1h18m29s.txt;OW_k8_epochsize50_gamma0.2_1h18m48s.txt;OW_k4_epochsize30_gamma0.3_1h19m17s.txt;OW_k8_epochsize10_gamma0.3_1h19m36s.txt;OW_k4_epochsize20_gamma0.01_1h16m37s.txt;OW_k8_epochsize20_gamma0.3_1h19m46s.txt;OW_k4_epochsize50_gamma0.01_1h16m55s.txt;OW_k4_epochsize50_gamma0.1_1h15m40s.txt;OW_k4_epochsize10_gamma0.3_1h18m58s.txt;OW_k4_epochsize30_gamma0.2_1h18m1s.txt;OW_k4_epochsize50_gamma0.3_1h19m26s.txt;OW_k8_epochsize30_gamma0.01_1h17m24s.txt
82.5020117647;82.6088235294;84.9839882353;84.5361294118;84.7068235294;83.0514823529;82.3983058824;83.6230470588;82.3922352941;83.1871058824;84.8402588235;82.4658941176;82.8139647059;84.4231882353;85.0887764706;84.0937529412;84.6100352941;81.5184941176;84.4536235294;83.0633529412;82.7964;82.8558823529;84.8619294118;83.5214941176;84.1074705882;82.7180823529;84.9763294118;83.4904352941;83.4747882353;84.1914588235;84.2605529412;83.0086117647
83.7846470588;82.5559529412;83.7136;84.2006588235;84.7351882353;82.6619176471;82.6818;84.8277176471;81.7149058824;82.3596470588;84.4353764706;81.1342470588;81.9173411765;84.5978117647;84.9523058824;82.9751647059;83.5995764706;83.8718941176;84.9936588235;83.5244235294;83.5873058824;83.5112823529;84.8166235294;82.4721411765;84.5682;83.0137411765;84.4053764706;84.6333764706;84.4005294118;84.2579411765;85.1177176471;83.1334117647
83.4751294118;82.1514235294;84.3397294118;84.6582352941;84.7244;84.0846352941;83.4511764706;83.9495764706;83.2575411765;83.7980941176;84.9070941176;82.1623764706;82.3864941176;85.8258588235;83.2870823529;82.8946470588;85.2832117647;82.2775882353;84.7982352941;82.7169176471;82.0802;82.3815176471;85.1814470588;82.2554941176;83.0428823529;82.5314117647;84.2392117647;84.8982470588;85.4560235294;85.7204470588;84.3938941176;82.7617058824
82.3944705882;83.2939529412;85.5824117647;84.0013529412;84.1363529412;82.9689058824;83.5484588235;85.3692352941;83.0907058824;83.6196470588;84.2264823529;82.4878235294;83.4229294118;83.3214352941;83.2155529412;82.8068705882;84.5574117647;82.2917529412;83.4242;81.3122352941;82.7794823529;81.9541882353;84.3127176471;83.3296470588;83.0202117647;83.0048823529;82.8001411765;84.3125529412;84.3807647059;83.8881764706;84.4393176471;83.0641176471
82.6413176471;82.6625058824;83.6565764706;83.0805058824;83.1350352941;83.4349411765;83.1087764706;85.2613882353;83.4680941176;82.8861176471;81.6215176471;81.9859176471;83.0684470588;81.9439882353;82.5470588235;81.6080117647;83.6117176471;82.8377411765;82.2550235294;82.5809176471;82.6798470588;83.1995058824;84.0944;82.5689764706;83.4578823529;82.9761529412;83.7306941176;82.5841058824;83.7964941176;83.2067647059;84.8923882353;82.0778235294
82.0775411765;81.8205529412;80.2780705882;83.1971647059;78.2882352941;82.4449294118;83.4731882353;78.7503411765;83.6400823529;82.6946705882;78.6209176471;82.8635411765;83.0130588235;78.3120117647;83.1251294118;82.7596705882;77.5995529412;82.7822117647;78.7816235294;82.6522823529;83.0786352941;82.7287176471;79.8722470588;82.3880823529;83.4778;83.6450352941;82.6682705882;78.9943764706;80.5572588235;78.6197882353;79.8501176471;81.5801764706
83.2197529412;82.3114352941;79.9105176471;82.0682705882;80.3253764706;82.0239411765;83.0962235294;79.8345882353;83.1247647059;81.9230235294;80.2581764706;82.4432823529;83.3686941176;80.949;82.4113294118;82.9430705882;80.9178352941;82.5236941176;80.2309411765;81.5748470588;83.7412235294;83.0723529412;79.6287058824;83.3337058824;82.3475647059;82.5685176471;82.5502705882;80.4596470588;80.5559058824;80.9820470588;80.4026470588;81.8584235294
82.8430705882;81.2403294118;80.4537411765;82.2237882353;80.1612823529;81.5880117647;82.7072352941;79.9995647059;82.4852705882;81.5456470588;79.7147647059;81.8781176471;81.9278941176;79.4527176471;81.5190705882;81.5217529412;79.7044705882;83.1415764706;79.6244705882;81.5042470588;82.5684823529;83.0724117647;80.1739529412;82.6036470588;82.2693294118;82.9630117647;81.7578705882;80.6440823529;80.7083294118;79.6141647059;80.1561529412;81.5675764706
81.3461647059;82.2735882353;81.2720352941;82.0921294118;79.7056588235;79.7226352941;82.9437882353;79.3792;81.7766823529;80.8095529412;80.7912823529;82.3199411765;79.5680352941;80.5977882353;81.5538;80.7352588235;79.4587058824;83.2691058824;80.3693058824;81.4505176471;81.6888705882;82.1402705882;80.7394823529;83.1790235294;81.8892588235;82.5989176471;81.8032235294;81.6586;81.0659411765;80.4199176471;81.2520705882;82.1081294118
83.4395294118;82.0656235294;81.5088823529;83.3424941176;81.6823411765;79.8022352941;81.1034235294;85.0381176471;79.4541294118;79.4410235294;82.1011529412;80.9904352941;79.6710235294;83.9155764706;81.7435764706;83.4836941176;82.0220117647;81.5995647059;81.7046941176;81.9655176471;80.1409647059;81.2179411765;81.3477647059;82.6258;81.2914352941;81.6080823529;80.8912235294;82.4104941176;84.4576941176;82.1437176471;82.0634823529;81.3335058824
