OW_k4_discount0.95_sequentialInit_1h7m53s.txt;OW_k4_discount0.8_randomInit_1h8m20s.txt;OW_k8_discount0.95_randomInit_1h8m2s.txt;OW_k4_discount0.99_randomInit_1h7m9s.txt;OW_k8_discount1.0_randomInit_1h6m51s.txt;OW_k4_discount1.0_sequentialInit_1h6m43s.txt;OW_k8_discount0.99_randomInit_1h7m26s.txt;OW_k8_discount0.95_sequentialInit_1h8m11s.txt;OW_k4_discount0.8_sequentialInit_1h8m29s.txt;OW_k8_discount0.99_sequentialInit_1h7m36s.txt;OW_k4_discount1.0_randomInit_1h6m35s.txt;OW_k4_discount0.95_randomInit_1h7m45s.txt;OW_k8_discount0.8_randomInit_1h8m38s.txt;OW_k4_discount0.99_sequentialInit_1h7m18s.txt;OW_k8_discount0.8_sequentialInit_1h8m47s.txt;OW_k8_discount1.0_sequentialInit_1h7m0s.txt
96.3529411765;84.0602352941;83.0660588235;84.0012470588;83.5985647059;96.3529411765;83.1229176471;96.3529411765;96.3529411765;96.3529411765;83.9757529412;85.0549294118;83.7619176471;96.3529411765;96.3529411765;96.3529411765
101.470588235;85.6416705882;83.2684823529;85.1660705882;82.4963647059;101.470588235;83.0594823529;101.470588235;101.470588235;101.470588235;85.2754588235;84.1167764706;83.0781764706;101.470588235;101.470588235;101.470588235
100.176470588;84.6727647059;82.7950117647;84.5383294118;83.4121294118;100.176470588;81.8487882353;100.176470588;100.176470588;100.176470588;84.0110823529;84.9427882353;82.4102352941;100.176470588;100.176470588;100.176470588
99.7647058824;83.8506235294;83.3376823529;84.5320470588;82.5299411765;99.7647058824;83.5028352941;99.7647058824;99.7647058824;99.7647058824;85.0642941176;84.1739529412;83.3444941176;99.7647058824;99.7647058824;99.7647058824
78.5882352941;72.7647058824;82.8062117647;72.7647058824;83.0613294118;78.5882352941;83.0785529412;109.882352941;78.5882352941;109.882352941;72.7647058824;72.7647058824;83.6392705882;78.5882352941;109.882352941;109.882352941
82.8235294118;72.7717647059;83.5821176471;72.7647058824;83.0383647059;82.8235294118;82.8538117647;107.588235294;82.8235294118;107.588235294;72.7647058824;72.7647058824;82.5454235294;82.8235294118;107.588235294;107.588235294
78.5882352941;78.7717647059;81.63;72.7647058824;82.7931411765;78.5882352941;83.3520588235;104.470588235;78.5882352941;104.470588235;73.1094588235;73.7129411765;82.5013176471;78.5882352941;104.470588235;104.470588235
78.5882352941;72.7647058824;82.969;79.8235294118;82.5907529412;78.5882352941;82.5838823529;92.1176470588;78.5882352941;92.1176470588;72.7647058824;72.7647058824;82.0042235294;78.5882352941;92.1176470588;92.1176470588
78.5882352941;75.2399176471;74.5809294118;72.7647058824;76.0107176471;78.5882352941;75.6517529412;88.9411764706;78.5882352941;88.9411764706;74.4651294118;73.3635764706;78.7220470588;78.5882352941;79.7647058824;88.9411764706
78.5882352941;72.7647058824;76.0595882353;72.7647058824;75.2827411765;78.5882352941;75.9904470588;96.8235294118;78.5882352941;96.8235294118;72.7647058824;72.7647058824;89.5344941176;78.5882352941;77.4117647059;96.8235294118
78.5882352941;72.2312235294;73.2319647059;72.7647058824;71.5082823529;78.5882352941;71.7884705882;87.2941176471;78.5882352941;87.2941176471;72.7647058824;73.2911058824;80.9893411765;78.5882352941;77.4117647059;87.2941176471
78.5882352941;71.2282;72.7389764706;73.1543176471;74.8561058824;78.5882352941;74.3695058824;87.1176470588;78.5882352941;87.1176470588;73.1013647059;72.7647058824;74.3713647059;78.5882352941;79.2941176471;87.1176470588
78.5882352941;70.2008117647;79.9813176471;72.7647058824;71.9628941176;78.5882352941;75.6496941176;83.7647058824;78.5882352941;83.7647058824;72.7647058824;72.8655058824;73.8236588235;78.5882352941;79.7647058824;83.7647058824
78.5882352941;71.5223294118;78.1174470588;72.7647058824;74.6939529412;78.5882352941;71.6223058824;80.4705882353;78.5882352941;83.7647058824;72.7647058824;73.7746823529;71.3780117647;78.5882352941;79.7647058824;83.7647058824
78.5882352941;70.0427294118;70.2812470588;74.6423176471;69.2198117647;78.5882352941;71.3315882353;80.4705882353;78.5882352941;80.4705882353;72.7647058824;72.7647058824;69.7326117647;78.5882352941;90.3529411765;80.4705882353
78.5882352941;72.3147294118;69.4975764706;72.7647058824;69.1614705882;78.5882352941;70.1818117647;80.4705882353;78.5882352941;80.4705882353;72.7647058824;74.8611764706;68.8688117647;78.5882352941;86.1176470588;80.4705882353
78.5882352941;81.5508823529;69.4975764706;72.7647058824;68.5321411765;78.5882352941;69.0866235294;80.4705882353;92.4705882353;80.4705882353;73.0097882353;72.7647058824;68.9612705882;78.5882352941;81.1764705882;80.4705882353
78.5882352941;70.9085764706;69.4519764706;72.8697058824;68.5321411765;78.5882352941;69.0890117647;80.4705882353;84.2352941176;80.4705882353;72.8655058824;72.7647058824;69.4256352941;78.5882352941;99.8823529412;80.4705882353
78.5882352941;70.3895176471;69.2678588235;73.0955882353;68.5321411765;78.5882352941;68.2288705882;80.4705882353;72.7647058824;80.4705882353;73.0611764706;72.7647058824;71.0227764706;78.5882352941;94.8235294118;80.4705882353
78.5882352941;72.0735411765;69.1811647059;72.7647058824;68.5321411765;78.5882352941;68.2288705882;80.4705882353;72.7647058824;80.4705882353;72.7936117647;72.9702588235;72.7313529412;78.5882352941;109.764705882;80.4705882353
78.5882352941;71.3452823529;69.0513176471;72.7647058824;68.5321411765;78.5882352941;68.2288705882;80.4705882353;72.7647058824;80.4705882353;74.0985058824;73.1811411765;74.0373882353;78.5882352941;104.294117647;80.4705882353
78.5882352941;74.3300823529;69.0571058824;72.7647058824;68.5321411765;78.5882352941;68.2288705882;80.4705882353;80.1764705882;80.4705882353;72.7647058824;73.3709176471;75.9577529412;78.5882352941;85.6470588235;80.4705882353
78.5882352941;78.4444941176;69.4387176471;72.7647058824;68.5321411765;78.5882352941;68.2288705882;80.4705882353;88.2941176471;80.4705882353;72.7883882353;72.9932352941;76.0766941176;78.5882352941;90.2941176471;80.4705882353
78.5882352941;73.5279764706;69.3563176471;72.7647058824;68.5273411765;78.5882352941;68.2288705882;80.4705882353;80.0588235294;80.4705882353;72.9760117647;73.6201529412;80.6052;78.5882352941;102.823529412;80.4705882353
78.5882352941;77.6098235294;68.9705411765;72.7647058824;68.5102235294;78.5882352941;67.9525411765;80.4705882353;79.1176470588;80.4705882353;72.7647058824;70.0825411765;80.6090235294;78.5882352941;107.176470588;80.4705882353
78.5882352941;75.2417882353;68.9271176471;72.7647058824;68.5137882353;78.5882352941;67.9525411765;80.4705882353;90.4117647059;80.4705882353;72.8200470588;70.1681882353;79.2776352941;78.5882352941;74.6470588235;80.4705882353
78.5882352941;70.3467411765;70.3531647059;72.7647058824;68.4936470588;78.5882352941;67.9525411765;80.4705882353;83.7058823529;80.4705882353;72.7573647059;70.1294117647;77.522;78.5882352941;84.2941176471;80.4705882353
78.5882352941;73.8867882353;69.4401058824;72.7647058824;68.4915764706;78.5882352941;67.9525411765;80.4705882353;80.5294117647;80.4705882353;72.7647058824;70.0760470588;75.0107882353;78.5882352941;87.1176470588;80.4705882353
78.5882352941;72.5525647059;69.2704588235;72.7647058824;68.4947882353;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.0449882353;73.2034470588;78.5882352941;92.6470588235;80.4705882353
78.5882352941;72.8989529412;69.8736588235;73.2189764706;68.496;78.5882352941;67.9525411765;80.4705882353;79.8235294118;80.4705882353;72.7647058824;71.6062235294;78.9247058824;78.5882352941;83.4705882353;80.4705882353
78.5882352941;70.3183294118;69.8054117647;72.9552941176;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.0305882353;73.8902352941;78.5882352941;84.8823529412;80.4705882353
78.5882352941;70.6730823529;69.5935647059;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.1495529412;71.5402235294;78.5882352941;119.294117647;80.4705882353
82.8235294118;70.5596352941;70.6819411765;72.7647058824;68.4925764706;78.5882352941;67.9514705882;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.0305882353;70.0375647059;78.5882352941;73.7058823529;80.4705882353
78.5882352941;72.4635529412;71.0548470588;72.7647058824;68.496;78.5882352941;67.9504705882;80.4705882353;72.7647058824;80.4705882353;72.7573647059;70.0305882353;70.0856823529;78.5882352941;73.7058823529;80.4705882353
78.5882352941;70.1890823529;70.3935647059;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.0305882353;71.3173058824;78.5882352941;88.7647058824;80.4705882353
78.5882352941;74.2332470588;70.7708823529;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;84.2352941176;80.4705882353;72.9627411765;70.0233411765;70.8962117647;78.5882352941;82.4117647059;80.4705882353
78.5882352941;73.8461176471;68.9980117647;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;80.1764705882;80.4705882353;72.9479176471;70.2190117647;72.0175647059;78.5882352941;79.8235294118;80.4705882353
78.5882352941;78.0193764706;69.6069411765;72.7647058824;68.496;78.5882352941;67.9525411765;92.1176470588;79.5882352941;80.4705882353;72.9406117647;70.0305882353;71.9871294118;78.5882352941;77.7058823529;80.4705882353
78.5882352941;73.3813176471;68.2505764706;73.2480941176;68.496;78.5882352941;67.9525411765;80.4705882353;80.5294117647;80.4705882353;72.7647058824;70.5325764706;78.4119647059;78.5882352941;92.0588235294;80.4705882353
78.5882352941;72.4814705882;68.1443529412;72.9855058824;68.496;78.5882352941;67.9525411765;80.4705882353;78.5882352941;80.4705882353;72.7856;70.6522117647;75.0562352941;78.5882352941;80.0588235294;80.4705882353
78.5882352941;78.4222352941;68.0466941176;72.7647058824;68.496;78.5882352941;67.9454470588;80.4705882353;80.0588235294;80.4705882353;72.7593411765;70.2571294118;75.0848705882;78.5882352941;79.5882352941;80.4705882353
78.5882352941;74.2094588235;68.0707882353;72.7647058824;68.496;78.5882352941;67.9471764706;80.4705882353;83.1176470588;80.4705882353;72.7734588235;70.0360470588;73.3410588235;78.5882352941;80.5294117647;80.4705882353
78.5882352941;75.6496941176;68.2535058824;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7576470588;70.6479647059;71.5239411765;78.5882352941;81.0;80.4705882353
