OW_k8_discount0.95_window30_randomInit_1h13m7s.txt;OW_k4_discount0.8_window30_sequentialInit_1h14m1s.txt;OW_k4_discount0.8_window10_sequentialInit_1h13m41s.txt;OW_k4_discount0.95_window30_sequentialInit_1h12m26s.txt;OW_k8_discount0.95_window20_randomInit_1h12m56s.txt;OW_k4_discount0.99_window10_sequentialInit_1h10m32s.txt;OW_k4_discount0.8_window50_sequentialInit_1h14m16s.txt;OW_k4_discount1.0_window20_randomInit_1h9m3s.txt;OW_k4_discount0.99_window20_randomInit_1h10m35s.txt;OW_k8_discount0.99_window20_sequentialInit_1h11m27s.txt;OW_k8_discount0.95_window10_randomInit_1h12m48s.txt;OW_k8_discount0.99_window10_sequentialInit_1h11m18s.txt;OW_k8_discount0.99_window10_randomInit_1h11m14s.txt;OW_k4_discount0.8_window50_randomInit_1h14m8s.txt;OW_k4_discount1.0_window50_sequentialInit_1h9m33s.txt;OW_k8_discount0.8_window50_randomInit_1h14m57s.txt;OW_k8_discount1.0_window10_randomInit_1h9m41s.txt;OW_k4_discount1.0_window20_sequentialInit_1h9m8s.txt;OW_k4_discount0.99_window10_randomInit_1h10m28s.txt;OW_k8_discount0.99_window50_randomInit_1h11m46s.txt;OW_k4_discount0.95_window50_randomInit_1h12m32s.txt;OW_k8_discount1.0_window20_sequentialInit_1h9m54s.txt;OW_k4_discount0.95_window10_randomInit_1h12m3s.txt;OW_k4_discount0.99_window50_sequentialInit_1h11m6s.txt;OW_k4_discount0.95_window30_randomInit_1h12m20s.txt;OW_k8_discount1.0_window10_sequentialInit_1h9m45s.txt;OW_k8_discount1.0_window30_randomInit_1h9m59s.txt;OW_k4_discount0.8_window20_randomInit_1h13m45s.txt;OW_k8_discount0.8_window50_sequentialInit_1h15m6s.txt;OW_k4_discount0.99_window20_sequentialInit_1h10m40s.txt;OW_k8_discount0.95_window50_sequentialInit_1h13m29s.txt;OW_k8_discount1.0_window50_randomInit_1h10m12s.txt;OW_k4_discount1.0_window30_sequentialInit_1h9m19s.txt;OW_k8_discount1.0_window30_sequentialInit_1h10m5s.txt;OW_k8_discount0.99_window30_randomInit_1h11m33s.txt;OW_k8_discount0.8_window30_randomInit_1h14m43s.txt;OW_k4_discount0.99_window30_sequentialInit_1h10m51s.txt;OW_k8_discount1.0_window20_randomInit_1h9m49s.txt;OW_k8_discount0.8_window10_randomInit_1h14m24s.txt;OW_k8_discount1.0_window50_sequentialInit_1h10m20s.txt;OW_k4_discount1.0_window10_sequentialInit_1h9m0s.txt;OW_k8_discount0.8_window10_sequentialInit_1h14m28s.txt;OW_k4_discount0.95_window50_sequentialInit_1h12m40s.txt;OW_k4_discount1.0_window10_randomInit_1h8m56s.txt;OW_k4_discount0.95_window10_sequentialInit_1h12m6s.txt;OW_k4_discount0.95_window20_sequentialInit_1h12m15s.txt;OW_k4_discount0.99_window50_randomInit_1h10m57s.txt;OW_k8_discount0.95_window50_randomInit_1h13m21s.txt;OW_k4_discount0.8_window30_randomInit_1h13m55s.txt;OW_k8_discount0.99_window30_sequentialInit_1h11m39s.txt;OW_k4_discount1.0_window50_randomInit_1h9m25s.txt;OW_k8_discount0.8_window20_randomInit_1h14m32s.txt;OW_k4_discount0.95_window20_randomInit_1h12m10s.txt;OW_k8_discount0.95_window10_sequentialInit_1h12m52s.txt;OW_k4_discount0.99_window30_randomInit_1h10m45s.txt;OW_k8_discount0.8_window20_sequentialInit_1h14m38s.txt;OW_k4_discount0.8_window20_sequentialInit_1h13m50s.txt;OW_k8_discount0.8_window30_sequentialInit_1h14m50s.txt;OW_k8_discount0.99_window20_randomInit_1h11m22s.txt;OW_k8_discount0.95_window20_sequentialInit_1h13m2s.txt;OW_k4_discount1.0_window30_randomInit_1h9m13s.txt;OW_k8_discount0.99_window50_sequentialInit_1h11m54s.txt;OW_k8_discount0.95_window30_sequentialInit_1h13m14s.txt;OW_k4_discount0.8_window10_randomInit_1h13m38s.txt
82.9381176471;96.3529411765;96.3529411765;96.3529411765;82.6599411765;96.3529411765;96.3529411765;84.6971176471;84.1531058824;96.3529411765;82.5049529412;96.3529411765;82.3536235294;84.8276705882;96.3529411765;82.8877529412;82.7105647059;96.3529411765;83.8865294118;82.5044352941;84.419;96.3529411765;84.1327882353;96.3529411765;83.8918941176;96.3529411765;83.2600117647;83.9891529412;96.3529411765;96.3529411765;96.3529411765;82.9610705882;96.3529411765;96.3529411765;83.2390705882;82.5340352941;96.3529411765;82.5413058824;83.1910823529;96.3529411765;96.3529411765;96.3529411765;96.3529411765;84.6205176471;96.3529411765;96.3529411765;84.6956588235;82.3151176471;84.1978941176;96.3529411765;84.3104941176;83.6648235294;83.6851882353;96.3529411765;84.5714705882;96.3529411765;96.3529411765;96.3529411765;82.8015294118;96.3529411765;83.8408;96.3529411765;96.3529411765;84.6065411765
83.8666823529;101.470588235;101.470588235;101.470588235;82.2780588235;101.470588235;101.470588235;84.0364823529;85.1248352941;101.470588235;83.4588117647;101.470588235;83.6699176471;84.8253411765;101.470588235;83.2711176471;82.8062941176;101.470588235;84.8605411765;83.5023882353;85.4726941176;101.470588235;84.6731058824;101.470588235;86.0359176471;101.470588235;82.2897176471;84.0330117647;101.470588235;101.470588235;101.470588235;83.5516352941;101.470588235;101.470588235;83.4266352941;83.2585882353;101.470588235;83.1247411765;83.8339764706;101.470588235;101.470588235;101.470588235;101.470588235;84.4045529412;101.470588235;101.470588235;84.6403647059;83.1840352941;84.0873647059;101.470588235;84.4515529412;84.1744588235;84.9722352941;101.470588235;84.4117882353;101.470588235;101.470588235;101.470588235;82.8508352941;101.470588235;85.2041294118;101.470588235;101.470588235;84.9260705882
82.3486588235;100.176470588;100.176470588;100.176470588;83.0432941176;100.176470588;100.176470588;85.0945529412;84.7987647059;100.176470588;83.7425882353;100.176470588;83.3096588235;84.4230235294;100.176470588;82.9915411765;83.7103294118;100.176470588;85.0980235294;82.3667882353;83.3320941176;100.176470588;84.7588117647;100.176470588;84.8390470588;100.176470588;83.3230470588;85.3541294118;100.176470588;100.176470588;100.176470588;82.8865882353;100.176470588;100.176470588;82.7905058824;83.1372705882;100.176470588;82.3572941176;82.8510705882;100.176470588;100.176470588;100.176470588;100.176470588;84.3749294118;100.176470588;100.176470588;83.9795294118;82.1747647059;85.1214352941;100.176470588;84.3129764706;82.8641647059;84.4666352941;100.176470588;84.8472;100.176470588;100.176470588;100.176470588;83.2346823529;100.176470588;84.307;100.176470588;100.176470588;84.6453764706
81.5579529412;99.7647058824;99.7647058824;99.7647058824;83.9630941176;99.7647058824;99.7647058824;84.3745058824;84.1990588235;99.7647058824;82.9622117647;99.7647058824;82.5983764706;84.1742;99.7647058824;82.3953176471;81.9498588235;99.7647058824;84.3673764706;81.3921411765;85.0364;99.7647058824;84.6555764706;99.7647058824;83.5386;99.7647058824;83.3128470588;84.8743411765;99.7647058824;99.7647058824;99.7647058824;82.2921529412;99.7647058824;99.7647058824;83.1942;83.5252941176;99.7647058824;83.2629176471;82.3743294118;99.7647058824;99.7647058824;99.7647058824;99.7647058824;84.9060941176;99.7647058824;99.7647058824;84.9397882353;82.3940235294;84.9886705882;99.7647058824;85.1289294118;82.9128352941;85.1166705882;99.7647058824;84.4020352941;99.7647058824;99.7647058824;99.7647058824;83.1803411765;99.7647058824;84.9018823529;99.7647058824;99.7647058824;84.0980117647
83.7837176471;78.5882352941;78.5882352941;78.5882352941;83.2236705882;78.5882352941;78.5882352941;72.7647058824;72.7647058824;109.882352941;82.5943882353;109.882352941;82.4039176471;72.7647058824;78.5882352941;82.7035764706;83.2506941176;78.5882352941;72.7647058824;82.9066352941;72.7647058824;109.882352941;72.7647058824;78.5882352941;72.7647058824;109.882352941;82.7906470588;72.7647058824;109.882352941;78.5882352941;109.882352941;82.8376235294;78.5882352941;109.882352941;82.6570470588;82.1338117647;78.5882352941;82.9677294118;83.0359764706;109.882352941;78.5882352941;109.882352941;78.5882352941;72.7647058824;78.5882352941;78.5882352941;72.7647058824;83.5291647059;72.7647058824;109.882352941;72.7647058824;81.6662352941;72.7647058824;109.882352941;72.7647058824;109.882352941;78.5882352941;109.882352941;82.4820235294;109.882352941;72.7647058824;109.882352941;109.882352941;72.7647058824
82.2768;82.8235294118;82.8235294118;82.8235294118;83.7262941176;82.8235294118;82.8235294118;72.7647058824;72.7647058824;107.588235294;82.7952705882;107.588235294;82.5610823529;72.7647058824;82.8235294118;82.9258588235;82.9732117647;82.8235294118;72.7647058824;83.3389764706;72.7647058824;107.588235294;72.7647058824;82.8235294118;72.7647058824;107.588235294;82.8980470588;72.7647058824;107.588235294;82.8235294118;107.588235294;81.7314352941;82.8235294118;107.588235294;82.7136235294;83.0539764706;82.8235294118;82.1669411765;83.6779882353;107.588235294;82.8235294118;107.588235294;82.8235294118;72.7647058824;82.8235294118;82.8235294118;72.7647058824;83.1291176471;72.7647058824;107.588235294;72.7647058824;82.5936;72.7647058824;107.588235294;72.7647058824;107.588235294;82.8235294118;107.588235294;81.9710352941;107.588235294;72.7647058824;107.588235294;107.588235294;72.7647058824
82.6707647059;78.5882352941;78.5882352941;78.5882352941;82.0525176471;78.5882352941;78.5882352941;72.7647058824;72.7647058824;104.470588235;82.5301529412;104.470588235;83.3530470588;77.2070588235;78.5882352941;82.9968;82.4571529412;78.5882352941;72.7647058824;83.7098352941;72.7647058824;104.470588235;72.7647058824;78.5882352941;72.7647058824;104.470588235;83.2899647059;79.8235294118;104.470588235;78.5882352941;104.470588235;83.3564588235;78.5882352941;104.470588235;82.6007647059;83.5390588235;78.5882352941;83.6095647059;82.2880352941;104.470588235;78.5882352941;104.470588235;78.5882352941;72.7647058824;78.5882352941;78.5882352941;72.7647058824;83.6189529412;78.6379294118;104.470588235;72.7647058824;82.3705176471;72.7647058824;104.470588235;72.7647058824;104.470588235;78.5882352941;104.470588235;83.5640705882;104.470588235;72.7647058824;104.470588235;104.470588235;77.1206588235
83.9582470588;78.5882352941;78.5882352941;78.5882352941;82.3057647059;78.5882352941;78.5882352941;72.7771294118;72.9654588235;92.1176470588;82.7157647059;92.1176470588;83.0477411765;72.7647058824;78.5882352941;83.1280117647;83.4265529412;78.5882352941;72.9912470588;83.6678588235;73.4520470588;92.1176470588;74.2233411765;78.5882352941;74.5744;92.1176470588;82.1693882353;72.7647058824;92.1176470588;78.5882352941;92.1176470588;83.7122352941;78.5882352941;92.1176470588;82.6628117647;82.0561058824;78.5882352941;83.2468235294;82.0773058824;92.1176470588;78.5882352941;92.1176470588;78.5882352941;73.1427764706;78.5882352941;78.5882352941;72.8635294118;82.9414588235;72.7647058824;92.1176470588;72.7647058824;83.1444941176;75.9019294118;92.1176470588;73.3011764706;92.1176470588;78.5882352941;92.1176470588;83.3619294118;92.1176470588;73.0776470588;92.1176470588;92.1176470588;72.7647058824
75.8953647059;78.5882352941;78.5882352941;78.5882352941;74.1078352941;78.5882352941;78.5882352941;72.8821647059;72.7647058824;88.9411764706;75.4490705882;88.9411764706;75.6636;73.3029764706;78.5882352941;76.5639529412;74.7850705882;78.5882352941;72.7647058824;75.7563647059;72.7647058824;88.9411764706;72.7647058824;78.5882352941;72.7647058824;88.9411764706;75.1759882353;73.1026823529;88.9411764706;78.5882352941;88.9411764706;74.6175411765;78.5882352941;88.9411764706;75.7395764706;77.3191882353;78.5882352941;74.803;77.2340588235;88.9411764706;78.5882352941;88.9411764706;78.5882352941;72.7647058824;78.5882352941;78.5882352941;72.7686588235;73.8166352941;73.1933176471;88.9411764706;75.7339294118;76.9972941176;72.7647058824;88.9411764706;72.7647058824;88.9411764706;78.5882352941;88.9411764706;74.8440470588;88.9411764706;72.7647058824;88.9411764706;88.9411764706;73.1467294118
75.0146470588;78.5882352941;78.5882352941;78.5882352941;77.7611176471;78.5882352941;78.5882352941;72.7856;73.2326588235;96.3529411765;76.209;96.3529411765;77.2778705882;73.2085294118;78.5882352941;91.3045647059;77.6470588235;78.5882352941;73.1687529412;77.408;73.7811764706;96.3529411765;72.7647058824;78.5882352941;72.7647058824;96.3529411765;77.2997647059;73.7867882353;96.8235294118;78.5882352941;96.3529411765;77.5088823529;78.5882352941;96.3529411765;77.2552470588;92.3086470588;78.5882352941;78.0997647059;91.4554352941;96.3529411765;78.5882352941;96.8235294118;78.5882352941;73.5587764706;78.5882352941;78.5882352941;73.2232470588;77.6952352941;73.3775647059;96.3529411765;72.7647058824;91.0367882353;72.7647058824;96.3529411765;72.9411764706;96.8235294118;78.5882352941;96.8235294118;78.1378823529;96.3529411765;72.7647058824;96.3529411765;96.3529411765;73.9757764706
