Braess_1_4200_10_c1_k3_discount0.99_randomInit_11h38m42s.txt;Braess_1_4200_10_c1_k3_discount0.95_sequentialInit_11h43m21s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_11h38m0s.txt;Braess_1_4200_10_c1_k3_discount0.95_randomInit_11h38m21s.txt;Braess_1_4200_10_c1_k3_discount0.8_sequentialInit_11h42m58s.txt;Braess_1_4200_10_c1_k3_discount0.99_sequentialInit_11h43m43s.txt
15.5708395692;20.0;15.5550708617;15.5611479592;20.0;20.0
15.5523866213;20.0;15.5599693877;15.5595787982;20.0;20.0
15.5437964853;20.0;15.5534858277;15.5460770975;20.0;20.0
20.0;20.0;20.0;20.0;20.0;20.0
15.000409297;20.0;15.0000408163;15.0004535147;20.0;20.0
15.000409297;20.0;15.0000408163;15.0004535147;20.0;20.0
15.000409297;20.0;15.0000408163;15.0004535147;20.0;20.0
15.000409297;20.0;15.0000408163;15.0004535147;20.0;20.0
15.000409297;20.0;15.0000408163;15.0004535147;20.0;20.0
15.000409297;20.0;15.0000408163;15.0004535147;20.0;20.0
15.000409297;20.0;20.0;15.0004535147;20.0;20.0
15.000409297;20.0;15.0000408163;15.0004535147;20.0;20.0
15.000409297;20.0;15.0000408163;17.7746122449;20.0;20.0
15.000409297;20.0;15.0000408163;16.1497596372;20.0;20.0
20.0;20.0;15.0000408163;16.1497596372;20.0;20.0
15.000409297;20.0;15.0000408163;18.6495328798;20.0;20.0
15.000409297;20.0;15.0000408163;20.0;20.0;20.0
15.000409297;20.0;15.0000408163;17.5002267574;20.0;20.0
15.000409297;20.0;18.6479189342;20.0;20.0;20.0
15.000409297;20.0;15.2644699546;15.0004535147;20.0;20.0
15.000409297;20.0;15.2644699546;15.0004535147;20.0;20.0
15.000409297;20.0;15.2644699546;15.0004535147;20.0;20.0
15.000409297;20.0;15.2644699546;15.5492244898;20.0;20.0
15.000409297;20.0;17.7644495465;17.2861678004;20.0;20.0
15.000409297;20.0;20.0;20.0;20.0;20.0
15.000409297;20.0;17.5000204082;20.0;20.0;20.0
15.000409297;20.0;20.0;17.5002267574;20.0;20.0
15.000409297;20.0;15.0000408163;18.6430839002;20.0;20.0
15.000409297;20.0;15.0000408163;17.7469387755;20.0;20.0
15.000409297;20.0;17.2958378685;16.1501133787;20.0;20.0
15.000409297;20.0;20.0;18.6495328798;20.0;20.0
15.000409297;20.0;18.6479189342;16.1501133787;20.0;20.0
15.000409297;20.0;18.6479189342;17.7841632653;20.0;20.0
15.000409297;20.0;17.7644495465;20.0;20.0;20.0
15.000409297;20.0;20.0;16.1501133787;20.0;20.0
15.000409297;20.0;15.528899093;16.0673378685;20.0;20.0
15.000409297;20.0;15.528899093;17.7746122449;20.0;20.0
15.000409297;20.0;18.6479189342;17.7746122449;20.0;20.0
15.000409297;20.0;15.2644699546;17.5005804989;20.0;20.0
15.000409297;20.0;15.2644699546;17.7746122449;20.0;20.0
15.000409297;20.0;17.7644495465;18.6430839002;20.0;20.0
15.000409297;20.0;15.0000408163;18.5921451247;20.0;20.0
15.000409297;20.0;17.5000204082;15.5492244898;20.0;20.0
15.000409297;20.0;18.6479189342;16.0673378685;20.0;20.0
15.000409297;20.0;17.2958378685;17.7746122449;20.0;20.0
15.000409297;20.0;17.7644495465;20.0;20.0;20.0
15.000409297;20.0;20.0;15.2747573696;20.0;20.0
15.000409297;20.0;15.0000408163;15.2747573696;20.0;20.0
15.000409297;20.0;15.0000408163;15.5492244898;20.0;20.0
15.000409297;20.0;15.528899093;15.5492244898;20.0;20.0
15.000409297;20.0;15.0000408163;15.5492244898;20.0;20.0
15.000409297;20.0;18.6479189342;15.5492244898;20.0;20.0
15.000409297;20.0;18.6479189342;15.5492244898;20.0;20.0
15.000409297;20.0;20.0;17.7841632653;20.0;20.0
15.000409297;20.0;15.0000408163;16.0673378685;20.0;20.0
15.2631077097;20.0;15.528899093;18.5671111111;20.0;20.0
17.5002046485;20.0;15.0000408163;16.1501133787;20.0;20.0
20.0;20.0;15.2644699546;17.7746122449;20.0;20.0
17.2222222222;20.0;15.2644699546;18.6495328798;20.0;20.0
20.0;20.0;18.6479189342;16.4568798186;20.0;20.0
20.0;20.0;17.7644495465;17.5001451247;20.0;20.0
18.6111111111;20.0;16.1479393424;17.5001451247;20.0;20.0
18.6111111111;20.0;18.6479189342;20.0;20.0;20.0
18.6111111111;20.0;17.5000204082;15.5587755102;20.0;20.0
18.6111111111;20.0;16.1479393424;16.3667573696;20.0;20.0
15.2631077097;20.0;20.0;17.7746122449;20.0;20.0
18.6111111111;20.0;15.0000408163;20.0;20.0;20.0
18.6111111111;20.0;17.2958378685;16.1432290249;20.0;20.0
17.5002046485;20.0;20.0;15.5587755102;20.0;20.0
17.5002046485;20.0;17.7644495465;15.5587755102;20.0;20.0
17.5002046485;20.0;20.0;16.4176961451;20.0;20.0
20.0;20.0;17.2958378685;17.5001451247;20.0;20.0
15.2631077097;20.0;20.0;17.7746122449;20.0;20.0
15.2631077097;20.0;16.1479393424;17.7841632653;20.0;20.0
15.2631077097;20.0;18.6479189342;20.0;20.0;20.0
15.2631077097;20.0;20.0;17.5001451247;20.0;20.0
15.2631077097;20.0;20.0;20.0;20.0;20.0
18.6111111111;20.0;20.0;16.3140498866;20.0;20.0
17.5002046485;20.0;16.1479393424;17.7841632653;20.0;20.0
17.5002046485;20.0;18.6479189342;17.5005804989;20.0;20.0
17.5002046485;20.0;20.0;18.5671111111;20.0;20.0
17.5002046485;20.0;17.5000204082;17.29261678;20.0;20.0
17.5002046485;20.0;20.0;20.0;20.0;20.0
17.5002046485;20.0;15.0000408163;15.5587755102;20.0;20.0
17.5002046485;20.0;15.0000408163;15.5587755102;20.0;20.0
17.5002046485;20.0;15.0000408163;15.5587755102;20.0;20.0
20.0;20.0;15.0000408163;17.7746122449;20.0;20.0
17.5002046485;20.0;15.0000408163;15.5587755102;20.0;20.0
17.5002046485;20.0;20.0;15.5587755102;20.0;20.0
17.5002046485;20.0;18.6479189342;17.7746122449;20.0;20.0
17.5002046485;20.0;20.0;17.7746122449;20.0;20.0
17.5002046485;20.0;15.0000408163;20.0;20.0;20.0
17.5002046485;20.0;15.0000408163;17.7746122449;20.0;20.0
17.5002046485;20.0;15.0000408163;16.4176961451;20.0;20.0
17.5002046485;20.0;15.2644699546;17.7746122449;20.0;20.0
17.5002046485;20.0;18.6479189342;17.29261678;20.0;20.0
20.0;20.0;18.6479189342;17.7746122449;20.0;20.0
15.2631077097;20.0;20.0;17.1592562358;20.0;20.0
15.2631077097;20.0;15.528899093;18.6430839002;20.0;20.0
15.2631077097;20.0;15.0000408163;18.5921451247;20.0;20.0
