Braess_1_4200_10_c1_k3_a0.8_d0.9_21h16m37s.txt;Braess_1_4200_10_c1_k3_a0.9_d0.9_19h34m53s.txt;Braess_1_4200_10_c1_k3_a0.8_d0.99_21h16m39s.txt;Braess_1_4200_10_c1_k3_a0.9_d0.99_21h16m54s.txt
15.5652335601;15.5432001134;15.5240663265;15.5487828798
15.5242913832;15.5881643991;15.600111678;15.5532590703
15.5790481859;15.5971026077;15.5378344671;15.5589569161
15.7568004535;15.6995606576;15.5739795918;15.5969756236
16.1554314059;16.0897154195;15.6146831066;15.6411893424
15.7990504535;16.5525408163;15.6133361678;15.6242324263
15.9297080499;15.9901729025;15.6560844671;15.6158378685
16.312893424;16.8402222222;15.6426400227;15.7111848072
16.8758185941;16.5842040816;15.6363106576;15.7122040816
17.4638049886;17.3138259637;15.6604648526;15.7385408163
16.0602199546;17.0221774376;15.7302908163;15.7774693877
17.2049212018;17.9140419501;15.8119393424;15.8191609977
17.759239229;16.225127551;15.7758390023;15.8588163265
15.7797851474;16.320223356;15.829154195;15.8702630385
15.9695787982;17.6884580499;15.8733316326;15.9014495465
16.7475878685;18.2022522676;15.8894903628;15.8670640589
17.7793480725;15.6634540816;15.8840929705;15.9389614512
17.5200073696;15.63494161;15.9923475057;15.9586173469
18.5301774376;15.7708735828;15.9744875283;15.979053288
15.6682409297;15.8770708617;16.0352069161;15.9821882086
15.6756519274;15.9441315193;16.0322868481;16.0092908163
15.7485402494;16.067606576;16.0459869614;16.0613520408
15.8429869614;16.2538917233;16.0069705215;16.0365464853
15.8900464853;16.4512120181;16.1372545351;16.079435941
15.9871712018;17.4709229025;16.1588684807;16.0708866213
16.0492664399;19.1547193877;16.1572845805;16.1896281179
16.0961320862;15.353925737;16.1644671202;16.2251814059
16.1922959184;15.3422794785;16.2276332199;16.1925736961
16.3468123583;15.2948577097;16.2258526077;16.2345498866
16.5189075964;15.2729280045;16.2157624716;16.2205924036
17.6894994331;15.2671609977;16.2524739229;16.2981281179
19.5611797052;15.2523560091;16.2288004535;16.3569852608
15.7432256236;15.2372811791;16.3574104308;16.3466740363
15.6764767574;15.2491519274;16.3460232426;16.3657981859
15.6097562358;15.2543140589;16.4108803855;16.4385907029
15.5784331066;15.2508764172;16.3819909297;16.4773520408
