OW_k8_randomInit_20h20m4s.txt;OW_k8_randomInit_20h19m38s.txt;OW_k8_randomInit_20h19m54s.txt;OW_k8_randomInit_20h20m43s.txt;OW_k8_randomInit_20h20m40s.txt;OW_k8_randomInit_20h20m2s.txt;OW_k8_randomInit_20h19m51s.txt;OW_k8_randomInit_20h20m35s.txt;OW_k8_randomInit_20h19m36s.txt;OW_k8_randomInit_20h19m59s.txt;OW_k8_randomInit_20h20m38s.txt;OW_k8_randomInit_20h20m17s.txt;OW_k8_randomInit_20h20m25s.txt;OW_k8_randomInit_20h19m46s.txt;OW_k8_randomInit_20h20m12s.txt;OW_k8_randomInit_20h19m49s.txt;OW_k8_randomInit_20h20m9s.txt;OW_k8_randomInit_20h20m27s.txt;OW_k8_randomInit_20h19m44s.txt;OW_k8_randomInit_20h20m45s.txt;OW_k8_randomInit_20h20m20s.txt;OW_k8_randomInit_20h19m41s.txt;OW_k8_randomInit_20h20m22s.txt;OW_k8_randomInit_20h20m32s.txt;OW_k8_randomInit_20h20m7s.txt;OW_k8_randomInit_20h19m57s.txt;OW_k8_randomInit_20h20m50s.txt;OW_k8_randomInit_20h20m30s.txt;OW_k8_randomInit_20h20m14s.txt;OW_k8_randomInit_20h20m48s.txt
81.1268352941;82.6880705882;83.4944941176;82.5070470588;82.9622117647;82.3676470588;82.4340117647;82.8546;82.1263294118;83.3191647059;82.6563647059;82.6588705882;83.3016352941;82.4796352941;83.6435529412;82.3680117647;82.6250588235;82.8956705882;82.9232470588;82.8436588235;83.4219176471;83.2936705882;83.5411058824;83.1138117647;82.8132;83.4806117647;83.3568588235;82.5928705882;83.1657882353;83.4869529412
82.4409764706;82.6242823529;83.8894705882;83.7888;83.5121294118;83.3360470588;83.0765058824;82.7600235294;82.2473647059;82.1399647059;83.8611058824;83.4414588235;83.2081294118;83.9774705882;82.5911411765;83.5575882353;83.0073176471;83.3497764706;81.8596823529;82.7230352941;82.5631411765;83.1262823529;83.1870941176;82.4724588235;82.1521647059;82.5550117647;82.7155176471;82.3616823529;83.4864117647;82.6501647059
83.4530941176;82.4843882353;82.1023764706;82.7062352941;83.1274470588;83.2671529412;82.8631294118;82.5956235294;82.9983176471;82.3844705882;83.1811176471;82.6773176471;83.2977529412;82.7295882353;82.0945764706;82.2534588235;83.765;82.6508823529;82.8007411765;84.6494470588;83.1126941176;81.9404823529;83.4808;83.7213176471;82.0666470588;83.1498588235;82.5184235294;82.4787411765;83.7852352941;82.4886823529
82.7402705882;83.4583529412;82.8237411765;81.9947294118;81.9345529412;82.9798470588;82.5537647059;83.4568352941;83.0368117647;83.4913647059;83.2283882353;83.5633529412;82.8917882353;82.3807411765;83.1796235294;82.7700470588;82.7118235294;82.8268941176;82.6666470588;81.9831647059;83.2133176471;83.7775882353;82.3939529412;82.2786705882;83.2917176471;82.5367058824;82.4357764706;82.3270235294;82.7062117647;82.2383058824
83.2316941176;83.4025764706;83.0707882353;82.8640352941;83.2174470588;82.9609176471;83.0196705882;82.2427411765;82.8007882353;82.3993882353;83.1857294118;83.3903764706;82.7033529412;83.6464823529;83.7167647059;83.3460941176;82.7412705882;81.9128;82.5766823529;82.7163529412;82.4410117647;83.3641529412;81.6937411765;82.5648470588;82.8670352941;82.5886352941;83.1254588235;83.3688823529;82.2479882353;83.0346235294
84.3249294118;83.1806352941;82.6262235294;82.8178470588;81.9530352941;83.4403411765;83.4213294118;83.4867764706;83.5763764706;82.9647882353;82.8550352941;82.1026588235;83.0333882353;82.9669058824;82.7394470588;83.1382352941;82.4351176471;83.5449058824;83.6068588235;82.1413294118;82.6673647059;82.5649058824;82.7236941176;83.3195176471;83.7787058824;82.8422;84.0596117647;84.3517411765;83.2087294118;82.9142705882
82.3723647059;82.9103764706;83.1203647059;82.7774941176;83.6142235294;81.7292235294;83.5761529412;82.6597058824;83.0933411765;82.6668588235;81.8652;83.3648470588;82.1232117647;82.4826705882;82.9822;82.7482235294;82.9459058824;82.7679176471;83.2091529412;83.7625411765;83.0967411765;82.9314941176;83.6536235294;82.6088117647;82.8054;83.2340705882;82.9102;82.0274;82.3749294118;83.1454941176
83.6562588235;82.5564941176;82.2118352941;83.9122823529;83.0123176471;83.2091764706;82.4577647059;83.1989176471;83.4074470588;83.8226823529;82.4764941176;82.0615882353;82.6391176471;82.6758705882;82.4562235294;83.0366705882;83.0456823529;83.37;83.7215764706;82.5804;82.6824941176;82.3703176471;82.7335176471;83.2995764706;83.5442823529;82.8904352941;82.2453294118;84.0501294118;82.3848470588;83.3324235294
73.1449294118;76.9936352941;74.9844588235;76.5296352941;76.0303058824;74.0631882353;75.2464823529;73.6982941176;74.1014823529;74.0688352941;74.9648352941;73.9730705882;73.6893058824;74.7744823529;74.8317529412;75.7350470588;75.1531058824;75.7456941176;75.0955294118;74.7626352941;73.2219294118;76.1797058824;75.6046352941;76.2186352941;76.1689294118;74.0242823529;75.4938705882;76.9815764706;75.3876;74.5352823529
77.8809411765;76.2886117647;77.9882352941;75.6528941176;77.3261176471;78.1764705882;77.5538823529;77.5844705882;77.7947647059;78.0621176471;77.6155294118;77.5387647059;78.0621176471;77.5387647059;77.6312352941;77.5999411765;77.5691176471;78.1764705882;77.6155294118;78.0621176471;78.1764705882;76.2046117647;77.5691176471;76.52;77.7947647059;78.1764705882;77.2867647059;75.0405529412;77.6952352941;77.5088823529
72.7647058824;71.6015529412;71.5048470588;71.6259764706;71.4411764706;72.7647058824;71.6432;72.7647058824;72.7647058824;72.7647058824;72.0976470588;72.7647058824;72.7647058824;72.4311529412;71.9220235294;71.8953882353;71.8443764706;71.4883764706;72.5302117647;72.7647058824;72.7647058824;71.5646117647;71.7094117647;72.0360941176;71.5479058824;72.7647058824;71.7406117647;71.5415529412;72.0360941176;72.7647058824
71.6872823529;69.5096588235;71.1058588235;70.6312588235;69.8978588235;71.0126470588;70.646;71.8108823529;72.0034588235;69.6325058824;71.0192117647;71.4439647059;71.0504588235;71.6631176471;70.6550352941;70.5102;70.4297529412;69.3588705882;70.0314352941;70.3002;70.9830352941;69.1133294118;70.5646705882;70.6180823529;69.2453529412;69.9933058824;71.2896235294;70.0815764706;70.1256235294;71.9813882353
69.0927764706;69.1787764706;71.5048470588;69.3249882353;68.4198352941;73.3759411765;69.1156352941;69.1256352941;68.5390588235;69.8149411765;69.6375176471;69.5997294118;69.4010823529;70.2734705882;69.4803647059;69.8205882353;69.2111529412;68.9616;68.5598823529;71.9706470588;68.9243647059;69.0324705882;69.4342470588;69.2915294118;68.7755176471;69.1342823529;69.5038705882;68.7101529412;68.4936235294;68.7477882353
69.3257176471;69.1787764706;70.2782235294;69.4188352941;68.4076;70.9738235294;69.1027058824;69.2785647059;68.6011058824;69.2304705882;69.8749411765;68.8007294118;68.94;68.7871764706;69.1968823529;71.2472235294;69.3522941176;68.742;68.4506117647;70.2818823529;69.3490588235;69.2251411765;69.4527411765;68.5620235294;68.6590588235;69.2004588235;69.5841647059;68.5831294118;68.9798352941;68.6257411765
69.1661529412;69.1928588235;71.6624;69.3649647059;68.4076;71.0212588235;69.1505529412;68.6804352941;68.3308941176;69.3593647059;69.6173294118;69.0243882353;69.2864823529;68.7222352941;69.1871764706;69.3810470588;69.3291764706;68.742;68.5432235294;70.0586470588;68.8018588235;68.9109176471;69.6454470588;68.7264588235;68.6477882353;69.2040235294;69.8042941176;68.4935294118;68.4504235294;68.3114823529
69.2152823529;68.9052705882;69.8223411765;69.3866588235;68.4076;71.0393294118;68.9462352941;68.9292823529;68.7515647059;69.0525882353;70.1317411765;68.7249882353;68.7434117647;68.7222352941;68.4045882353;69.3890705882;69.2842823529;68.742;68.4506117647;70.1186823529;69.3420470588;68.9296588235;69.4692941176;68.5784;68.6477882353;69.2113647059;69.2908823529;68.4935294118;68.8400352941;68.3340705882
