Braess_1_4200_10_c1_k3_sequentialInit_21h22m47s.txt;Braess_1_4200_10_c1_k3_randomInit_21h22m33s.txt
20.0;15.5311320862
20.0;15.5547959184
20.0;15.585989229
20.0;20.0
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.5227222222
20.0;20.0
20.0;20.0
20.0;17.5000816326
20.0;20.0
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
20.0;15.0001632653
