OW_k8_a0.9_d0.9;OW_k8_a0.5_d0.95;OW_k8_a0.9_d0.95;OW_k8_a0.5_d0.9;OW_k8_a0.8_d0.9;OW_k8_a0.8_d0.95
83.0143023529;82.9828643137;83.0112592157;83.0252980392;82.9650890196;82.699114902
82.974294902;82.6986776471;82.7857470588;82.9376733333;82.9021760784;82.8994062745
82.8680772549;83.0494380392;82.9464823529;83.1442419608;82.7502070588;83.0465254902
82.943712549;82.8425403922;83.0298701961;82.8151192157;82.78956;83.0297866667
82.9070882353;82.8585172549;82.8421270588;82.8476960784;82.9516980392;82.8865360784
82.9020415686;82.7674682353;82.8459682353;82.9764988235;82.8755862745;82.9444435294
82.978085098;82.9410654902;82.9663458823;82.9667219608;82.8811843137;82.8868156863
83.0148;83.0412701961;83.0977423529;82.9187701961;82.8881611765;82.9580992157
81.6789160784;82.6886141176;82.4582270588;81.4585737255;81.6984654902;82.5810854902
78.4236286274;81.8528737255;81.5169870588;78.5401298039;78.4577129412;81.6883917647
75.2225847059;80.4176113725;80.080167451;75.7487729412;75.3953337255;80.3884494118
73.0824313726;78.824747451;78.0682098039;74.356045098;73.750107451;78.7021647059
72.2828019608;77.7123564706;76.2269815686;75.1406843137;72.7965337255;77.0762305882
72.5028145098;77.6106180392;74.703194902;78.4644796078;72.5096098039;75.7927090196
71.783007451;78.5980976471;73.6343952941;83.8571796078;71.3418529412;75.0098917647
71.2200435294;79.8324137255;72.8795592157;85.2643533333;70.650092549;74.188867451
70.6715854902;81.4462176471;72.1867921569;84.8187517647;71.1067384314;73.3292458824
69.8328537255;81.6560933333;71.8605117647;81.4597909804;71.2014223529;72.5119533333
69.4347223529;80.5580898039;71.6447615686;76.1503129412;72.5245698039;72.2821560784
68.7764109804;78.5117294118;71.3612137255;73.1345129412;72.2936317647;72.3576486274
68.4565733333;76.3980066667;71.0074086275;72.7365290196;71.9835164706;71.9827298039
68.2785188235;74.8168945098;70.6854517647;72.1916431373;71.7482745098;71.4588905882
68.2203231372;74.014674902;70.5317533333;71.2397576471;71.6453062745;71.1170309804
68.0972011765;73.2514290196;70.1920333333;70.7267996079;71.2978682353;70.9149105882
68.0132709804;72.7324145098;70.0858282353;71.1003913726;70.6055901961;70.3966
68.0227466667;72.3143137255;69.7925047059;72.7017662745;70.1791627451;70.2915364706
68.016822353;72.565352549;69.7362427451;73.2492823529;69.8165431373;70.2342070588
67.8200392157;72.8898560784;69.5583537255;72.5549690196;69.1784780392;69.9345156863
67.7568101961;72.7914835294;69.4956631373;72.0008572549;68.7660023529;69.7677807843
67.6870215686;72.0341968627;69.5374176471;71.5090701961;68.4326411765;69.6478423529
67.7206227451;71.4956078431;69.4370537255;72.2661933333;68.3310254902;69.6602847059
67.735352549;71.2726878431;69.3278682353;72.2390192157;68.2411364706;69.5460462745
67.6752909804;71.2632415686;69.665612549;71.7853521569;68.1974733333;69.8245247059
67.7503;71.5561733333;69.341127451;71.2153509804;68.0486815686;69.6212584314
67.641887451;71.5861145098;69.4297835294;70.8237384314;67.9779431373;69.3720298039
67.5659513725;71.0468258823;69.3506996078;70.4550580392;67.9239705882;69.289245098
67.5994411765;70.6483847059;69.2421576471;69.8005266667;67.9253827451;69.0765270588
67.5464823529;70.321025098;69.3285654902;69.4722882353;67.8811301961;69.0427639216
67.4772964706;69.7647619608;69.5145317647;68.8696745098;67.8714376471;68.7626784314
67.504992549;69.6387952941;69.699027451;68.6565694118;67.8361086274;68.655932549
67.6687941176;69.4315996078;69.6281639216;68.3505470588;67.8191062745;68.5028215686
67.5263992157;69.0931117647;69.2292062745;68.0626160784;67.8116909804;68.4811611765
67.4673564706;68.841167451;68.809667451;67.997025098;67.8014988235;68.4690623529
67.4859298039;68.5771490196;68.6791223529;67.8123694118;67.7814235294;68.2283352941
67.4316733333;68.4838501961;68.8273768627;67.6174086275;67.7670341176;68.2306407843
67.4490392157;68.2588631373;68.6810168627;67.5337886274;67.7639588235;68.221067451
67.3504058824;68.1807596078;68.6579321569;67.4462823529;67.758827451;68.3897713726
67.3378898039;67.9997745098;68.5225552941;67.3817572549;67.7446847059;68.1658854902
67.3277227451;67.9092635294;68.644085098;67.332712549;67.7419011765;68.1326411765
67.3155156863;67.8500745098;68.3825184314;67.3120694118;67.7300101961;68.0694905882
67.3185831373;67.795052549;68.2191517647;67.302505098;67.7274596078;67.9527478431
67.3110721569;67.73346;68.1924360784;67.3052172549;67.7185337255;68.0248733333
67.3050082353;67.7791164706;68.1223172549;67.2971847059;67.7138121569;68.1157364706
67.3042321569;67.6906070588;68.0205094118;67.2916454902;67.721225098;67.9271447059
67.2964282353;67.6690643137;67.9566082353;67.2873607843;67.7115890196;68.0403160784
67.2955286274;67.6182721569;67.9720737255;67.2848803922;67.7028898039;68.0668552941
67.293285098;67.5886717647;68.1416509804;67.2834870588;67.7058458823;68.0348329412
67.28878;67.5758537255;68.2741698039;67.2797070588;67.6970909804;68.0766956863
67.2827639216;67.5293964706;67.9843380392;67.2820568628;67.699565098;67.9729301961
67.2865890196;67.5305101961;68.028254902;67.2775603922;67.6977376471;68.0113588235
67.2810360784;67.5253952941;67.8925015686;67.27524;67.6948960784;67.8544105882
67.2832980392;67.4788258824;67.9212690196;67.2717807843;67.6892384314;67.989692549
67.2825866667;67.5254305882;67.8998243137;67.2746113725;67.6877388235;67.9491454902
67.2820215686;67.4331427451;67.9666372549;67.2706266667;67.6838662745;67.8893639216
67.2787243137;67.4228533333;67.8269203922;67.2721960784;67.6857109804;67.9208415686
67.2745215686;67.4236352941;67.7903917647;67.2692819608;67.6806101961;68.1140466667
67.2717137255;67.3859490196;67.8297196078;67.2664870588;67.6846152941;68.2288113725
67.2732380392;67.3802482353;67.9805439216;67.2665976471;67.6793666667;68.3356258823
67.2721752941;67.3808313725;67.8349776471;67.2695282353;67.6789027451;68.2214611765
67.2736952941;67.3570890196;67.9813890196;67.2667764706;67.6779439216;68.2164533333
67.2717815686;67.3603631373;67.7886811765;67.2662815686;67.6777152941;68.0911882353
67.2732407843;67.3394254902;67.7532117647;67.2673105882;67.6777384314;68.1342839216
67.2704090196;67.3248356863;67.700334902;67.2640666667;67.6755039216;68.1109090196
67.2710709804;67.3270705882;67.7547027451;67.2638486275;67.6762066667;68.2002858823
67.2692937255;67.3208984314;67.8060352941;67.2667854902;67.6756156863;68.1009509804
67.2696231372;67.2989650981;67.9285003922;67.262394902;67.6748588235;67.9867827451
67.2666756863;67.2925443137;67.8604686275;67.2623172549;67.6738341177;67.8425298039
67.2678270588;67.2704847059;67.6988121569;67.2627764706;67.6754270588;67.9085419608
67.2690576471;67.2687023529;67.7045713725;67.263254902;67.6739415686;67.8821011765
