OW_k8_epochsize102_gamma0.01;OW_k8_epochsize102_gamma0.1
82.9459317647;82.8518564706
82.8623458824;83.0319360784
82.5084823529;82.8291298039
82.3913129412;82.8450223529
82.160425098;82.8780811765
82.1017870588;82.7973835294
82.263105098;82.6743231373
81.9329607843;82.0555776471
81.6882086275;80.5913505882
81.6574227451;79.7071062745
81.3850768627;79.356952549
81.4589870588;79.31824
81.0314235294;79.2018372549
81.0332282353;78.9033654902
80.9690572549;78.8983388235
80.7221235294;78.7808101961
80.6327654902;78.8306811765
80.6766780392;78.8805901961
80.5466321569;79.1778498039
80.4514301961;79.4055431373
80.3570756863;79.5551364706
80.1526407843;79.9584470588
79.9837011765;80.1485447059
79.8551392157;80.3584066667
79.9452945098;80.5269941176
79.793814902;80.434674902
79.7461054902;80.2464352941
79.6300964706;80.1345878431
79.6026035294;79.9169890196
79.54148;79.8341776471
79.3407227451;79.6220352941
79.4257882353;79.7227596078
79.1076094118;79.4702584314
79.1654772549;79.44648
79.1176890196;79.3789164706
79.1610121569;79.2427266667
78.9019803922;79.3556247059
78.8422572549;79.2518521569
78.8511643137;79.1458847059
78.6960776471;79.1052568627
78.5490207843;79.072514902
78.4764917647;79.126512549
78.5222431372;79.0576243137
78.4483803922;79.0676815686
78.452065098;78.9180054902
78.3098168627;78.7730117647
78.1905427451;78.8671454902
78.2837513725;78.8881031373
78.0643062745;78.7143305882
78.0970866667;78.8443419608
78.1493368627;78.8725603922
78.0252588235;78.8080839216
77.8546745098;78.6159368628
77.8387227451;78.6187964706
77.8648847059;78.6570368627
77.6564419608;78.7681807843
77.6162764706;78.6311521569
77.5563478431;78.7993160784
77.5118058824;78.5711360784
77.6275258824;78.6925470588
77.4784470588;78.6123321569
77.5369847059;78.4665109804
77.4021945098;78.4267615686
77.4161062745;78.3352015686
77.3368717647;78.4951486274
77.353585098;78.6098682353
77.3344431373;78.3482392157
77.3840745098;78.5216984314
77.3024113725;78.2836933333
77.2070192157;78.3280058823
77.1189501961;78.4467462745
77.1451733333;78.3469419608
77.0522913726;78.404045098
77.0258552941;78.2506572549
77.1411435294;78.3249262745
76.8328843137;78.2343580392
77.0086145098;78.1647
76.8879058824;78.2553411765
76.8641501961;78.1403886275
76.9302298039;78.1548505882
76.8992905882;78.2270462745
76.8899376471;78.060427451
76.8490109804;78.083365098
76.750227451;78.1413760784
76.6679309804;78.2642909804
76.5979545098;78.1285796078
76.6471803922;78.0177435294
76.6906035294;78.0341294118
76.4735796078;78.1139976471
76.6329160784;78.0118447059
76.5038207843;77.962707451
76.5456717647;77.9600372549
76.4111270588;78.0267756863
76.5013862745;78.0182913726
76.5335058823;78.0625960784
76.3645921569;77.8126764706
76.3282305882;77.8835733333
76.3455796078;77.8877858823
76.4017819608;77.8402827451
76.2274662745;77.8957705882
