OW_k8_discount0.99_window50_randomInit;OW_k8_discount0.99_window20_randomInit;OW_k8_discount0.99_window10_randomInit
82.8888733333;82.9741454902;82.8413576471
82.92048;82.9316384314;82.8654254902
82.9767952941;82.8388733333;82.9036627451
82.8515635294;82.8946431373;82.7344796078
82.9064713725;82.984974902;82.7996215686
82.7741831373;82.95824;83.0313721569
82.96366;82.7922756863;83.0442592157
83.0205270588;82.9472215686;83.1027682353
74.5429494118;74.86538;75.1355317647
77.4960564706;77.5021235294;77.2320705882
72.2746956863;72.036787451;71.9883172549
72.0130058824;72.1656913726;85.5665894118
72.4476313725;71.3999772549;84.8717019608
69.8440717647;70.3046890196;84.3624054902
69.8822847059;70.3789423529;83.9920345098
69.5524458824;69.4053286275;83.9598784314
69.315954902;68.925507451;84.0728070588
69.0301094118;68.8137439216;84.0722384314
68.8121003922;68.8495847059;84.0964
68.7638180392;68.7591207843;74.5529666667
68.7554003922;68.7120227451;75.9821023529
68.7381078431;83.6926054902;71.7420415686
68.6992329412;83.6578964706;85.3989721569
68.6449854902;83.5114482353;84.8737898039
68.5941972549;83.5065611765;84.327927451
68.5527905882;83.5019858824;83.9693811765
68.5416203922;83.5004094118;83.9323137255
68.5544035294;83.40866;83.9984415686
68.5517337255;83.3693913725;84.0001509804
68.5514388235;70.3691917647;83.9769227451
68.5446156863;75.1432960784;75.9644988235
68.5407435294;70.4843788235;75.7948576471
68.5386078431;71.7180309804;71.6566376471
68.5330592157;70.9321078431;85.3442247059
68.5451878431;70.0402588235;84.6034776471
68.5351235294;70.1233580392;84.0597090196
68.5371690196;69.2893419608;83.6787831373
68.5347305882;68.6283258823;83.7163858824
68.5292301961;68.5439431373;83.8724254902
68.5247486274;68.5859101961;83.882692549
68.5253247059;68.5580717647;83.9668415686
68.5302047059;68.6150262745;76.3962580392
68.5228066667;83.4781247059;75.7817670588
68.5185403922;83.4101290196;71.6158752941
68.5191427451;83.2793921569;85.3825196078
68.5033529412;83.345645098;84.6027878431
68.4955529412;83.308407451;84.039314902
68.4927458824;83.27398;83.6637309804
68.4974709804;83.2036827451;83.6971917647
68.4956886274;83.1814815686;83.852407451
68.5014854902;70.3439662745;83.8758619608
83.2526921569;75.039405098;83.9678607843
83.3119094118;70.4230223529;76.4529709804
83.4793513725;71.7447137255;75.7992094118
83.1457105882;70.8744082353;71.61228
83.1996984314;70.0352341176;85.3786898039
83.087912549;70.1062847059;84.6070701961
83.2640321569;69.2801419608;84.0349815686
83.229474902;68.6227568627;83.6626239216
69.8965772549;68.5383580392;83.7097909804
74.9404580392;68.5878392157;83.8454890196
70.6019513725;68.5569105882;83.8794066667
71.09042;68.6204521569;83.9730317647
73.2329862745;83.4550113725;76.4868721569
68.8653309804;83.3789635294;75.8026403922
69.1721419608;83.2566352941;71.6138713725
68.8575901961;83.3171737255;85.3681141176
68.8432694118;83.2756254902;84.6013552941
68.6429584314;83.2357772549;84.0336847059
68.4764933333;83.154425098;83.6540839216
68.4361070588;83.1419003922;83.7028301961
68.4384027451;70.3285533333;83.8396231373
68.4466894118;75.0691223529;83.8673717647
68.46234;70.4168984314;83.9720717647
68.451547451;71.7493890196;76.5080329412
68.4433996078;70.8739552941;75.8023992157
68.4090847059;70.0325278431;71.6119517647
68.4005047059;70.1043113726;85.3696101961
68.4125843137;69.2784447059;84.5988784314
68.4100854902;68.6194556863;84.0387760784
68.4065388235;68.5364529412;83.6579611765
68.4013192157;68.5859694118;83.7036580392
68.4064192157;68.5551180392;83.8443811765
68.3962388235;68.6197282353;83.8706341176
68.3925690196;83.4462835294;83.9773870588
68.4058066667;83.3663090196;76.514174902
68.4103482353;83.2540941176;75.8026109804
68.3954431373;83.3118980392;71.6123360784
68.3958262745;83.2703901961;85.372674902
68.3945905882;83.2257039216;84.5999447059
68.3793435294;83.1447368627;84.0392356863
68.3830709804;83.1352639216;83.6606643137
68.3863705882;70.3337933333;83.7014890196
68.4046058824;75.0691223529;83.8442623529
68.3896082353;70.4174729412;83.8719882353
68.401305098;71.7510921569;83.9803588235
68.385282353;70.8743262745;76.5166392157
68.3828952941;70.0328552941;75.8023698039
68.3800317647;70.1043713726;71.6104164706
68.3857470588;69.2779239216;85.3684227451
