Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h46m41s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h55m44s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h46m19s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h48m26s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h47m4s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h51m51s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h56m53s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h56m29s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h58m52s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h54m56s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h58m6s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h47m53s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h49m32s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h54m33s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h54m6s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h57m18s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h51m17s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h53m40s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h47m26s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h56m6s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h50m42s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h52m54s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h58m30s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h53m17s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h52m24s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h57m42s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h59m15s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h55m20s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h50m6s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h48m59s.txt
15.5200776644;15.5281780045;15.5660980726;15.5462726757;15.5796247165;15.5508321995;15.5486422902;15.55330839;15.6150663265;15.5212562358;15.5584546485;15.5524654195;15.5240663265;15.6409529478;15.5152743764;15.5554223356;15.6011473923;15.5484994331;15.5602040816;15.5447035147;15.5658866213;15.5655175737;15.5865770975;15.5608803855;15.5760770975;15.5987624716;15.502409297;15.5561995465;15.5458100907;15.5872477324
15.5875651927;15.5736530612;15.5422505669;15.605861678;15.5360164399;15.5809552154;15.5893679138;15.5784155329;15.5367437642;15.5736530612;15.539696712;15.5482930839;15.5793361678;15.5005351474;15.5937556689;15.5983701814;15.5044903628;15.5467811791;15.5301502267;15.5879688209;15.5637080499;15.5470929705;15.5708622449;15.5519824263;15.5234926304;15.5533837868;15.561159297;15.5778100907;15.5512573696;15.5229081633
15.5620147392;15.5693344671;15.5613905896;15.5185447846;15.5517715419;15.5453066893;15.5322630385;15.549005102;15.5176196145;15.574106576;15.5724722222;15.5715702948;15.5672222222;15.5333021542;15.5595334467;15.519739229;15.5692545351;15.5735447846;15.5790821995;15.5415839002;15.5425062358;15.556356576;15.5113407029;15.555845805;15.5704019274;15.5176712018;15.6073611111;15.5462726757;15.5707397959;15.5630232426
20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0
15.0005997732;15.003814059;15.0005487528;15.0021950113;15.0015521542;15.0106678004;15.0015521542;15.00019161;15.0004535147;15.0016371882;15.0003276644;15.002399093;15.0001632653;15.0013888889;15.000409297;15.0007664399;15.0053979592;15.0008265306;15.0014693877;15.0002222222;15.0031848073;15.0010204082;15.0000918367;15.0008888889;15.0009535147;15.0010895692;15.0036836735;15.0012346939;15.000409297;15.0053979592
15.0005997732;15.003814059;15.0005487528;15.0021950113;15.0015521542;15.0106678004;15.0015521542;15.5227222222;15.0004535147;15.0016371882;15.5539693878;15.6275918367;15.6141678004;15.0013888889;15.000409297;15.0007664399;15.6158378685;15.0008265306;15.0014693877;15.0002222222;15.0031848073;15.0010204082;15.0000918367;15.0008888889;15.0009535147;15.0010895692;15.6600555555;15.6309705215;15.000409297;15.0053979592
15.0005997732;15.003814059;15.0005487528;15.0021950113;15.0015521542;15.0106678004;15.0015521542;20.0;15.0004535147;15.0016371882;20.0;20.0;20.0;15.0013888889;15.000409297;15.0007664399;20.0;15.0008265306;15.0014693877;15.0002222222;15.0031848073;15.0010204082;15.0000918367;15.0008888889;15.0009535147;15.0010895692;20.0;20.0;15.000409297;15.0053979592
15.0005997732;15.003814059;15.0005487528;15.0021950113;15.0015521542;15.0106678004;15.0015521542;18.5717828798;15.0004535147;15.0016371882;20.0;18.5163951247;18.5485260771;15.0013888889;15.000409297;15.0007664399;17.754478458;15.0008265306;15.0014693877;15.0002222222;15.0031848073;15.0010204082;15.0000918367;15.0008888889;15.0009535147;15.0010895692;17.7285856009;18.524;15.000409297;15.0053979592
15.0005997732;15.003814059;15.0005487528;15.0021950113;15.0015521542;15.0106678004;15.0015521542;20.0;15.0004535147;15.0016371882;20.0;20.0;20.0;15.0013888889;15.000409297;15.0007664399;20.0;15.0008265306;15.0014693877;15.0002222222;15.0031848073;15.0010204082;15.0000918367;15.0008888889;15.0009535147;15.0010895692;20.0;20.0;15.000409297;15.0053979592
15.0005997732;15.2480980726;15.0005487528;15.2354790249;15.0015521542;16.0554024943;15.2358871882;15.528899093;15.2471655329;15.0016371882;17.2797324263;15.4658514739;15.4586122449;16.0492205215;15.000409297;15.2671609977;15.0000045351;15.0008265306;15.0014693877;15.0002222222;15.2294586168;15.0010204082;15.2484835601;15.0008888889;15.0009535147;15.2356558957;15.0057154195;15.4514297052;15.000409297;16.0024631519
