Braess_1_4200_10_c1_k3_discount0.8_window20_randomInit_12h7m55s.txt;Braess_1_4200_10_c1_k3_discount0.8_window10_randomInit_12h7m40s.txt;Braess_1_4200_10_c1_k3_discount0.8_window50_sequentialInit_12h8m37s.txt;Braess_1_4200_10_c1_k3_discount0.9_window20_randomInit_12h9m11s.txt;Braess_1_4200_10_c1_k3_discount0.99_window50_randomInit_12h10m54s.txt;Braess_1_4200_10_c1_k3_discount0.9_window10_sequentialInit_12h9m4s.txt;Braess_1_4200_10_c1_k3_discount0.99_window20_randomInit_12h10m32s.txt;Braess_1_4200_10_c1_k3_discount0.99_window50_sequentialInit_12h11m14s.txt;Braess_1_4200_10_c1_k3_discount0.9_window10_randomInit_12h8m57s.txt;Braess_1_4200_10_c1_k3_discount0.8_window20_sequentialInit_12h8m6s.txt;Braess_1_4200_10_c1_k3_discount0.99_window20_sequentialInit_12h10m43s.txt;Braess_1_4200_10_c1_k3_discount0.99_window10_sequentialInit_12h10m24s.txt;Braess_1_4200_10_c1_k3_discount0.8_window10_sequentialInit_12h7m47s.txt;Braess_1_4200_10_c1_k3_discount0.9_window20_sequentialInit_12h9m23s.txt;Braess_1_4200_10_c1_k3_discount0.9_window50_randomInit_12h9m36s.txt;Braess_1_4200_10_c1_k3_discount0.9_window50_sequentialInit_12h9m55s.txt;Braess_1_4200_10_c1_k3_discount0.8_window50_randomInit_12h8m17s.txt;Braess_1_4200_10_c1_k3_discount0.99_window10_randomInit_12h10m16s.txt
15.5399331066;15.5783673469;20.0;15.5619637188;15.6042726757;20.0;15.5445725624;20.0;15.5605856009;20.0;20.0;20.0;20.0;20.0;15.5282069161;20.0;15.557154195;15.5550589569
15.5660708617;15.5697692744;20.0;15.5692154195;15.5699614512;20.0;15.557973356;20.0;15.5481320862;20.0;20.0;20.0;20.0;20.0;15.5877562358;20.0;15.5477845805;15.5854478458
15.5611252834;15.5227488662;20.0;15.5379818594;15.4996740363;20.0;15.5643270975;20.0;15.5603378685;20.0;20.0;20.0;20.0;20.0;15.5516581633;20.0;15.5619954648;15.5289036281
20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0
15.0;15.0000283447;20.0;15.0001371882;15.0026122449;20.0;15.5571439909;20.0;15.0000283447;20.0;20.0;20.0;20.0;20.0;15.000409297;20.0;15.0005;15.5382324263
15.0;15.4819773243;20.0;15.0001371882;15.0026122449;20.0;20.0;20.0;15.0000283447;20.0;20.0;20.0;20.0;20.0;15.000409297;20.0;15.5492244898;20.0
15.0;20.0;20.0;15.4849387755;15.0026122449;20.0;20.0;20.0;15.5555555555;20.0;20.0;20.0;20.0;20.0;15.000409297;20.0;20.0;20.0
15.0005;20.0;20.0;20.0;15.0026122449;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;15.000409297;20.0;20.0;20.0
15.0005;20.0;20.0;20.0;15.0026122449;20.0;15.5571439909;20.0;20.0;20.0;20.0;20.0;20.0;20.0;15.000409297;20.0;20.0;15.5382324263
15.0005;15.0000283447;20.0;18.5968713152;17.2095419501;20.0;15.5571439909;20.0;18.5671111111;20.0;20.0;20.0;20.0;20.0;15.0000045351;20.0;15.0005;15.5382324263
